"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.630572660E-1,-2.597999954E1,-6.239999771E0,-3.827999878E1,4.668250507E1
8.709918360E-1,-2.579999924E1,-6.299999714E0,-3.881999969E1,4.703533069E1
8.789874420E-1,-2.603999901E1,-6.299999714E0,-3.863999939E1,4.701936939E1
8.869525300E-1,-2.573999977E1,-6.299999714E0,-3.834000015E1,4.660679346E1
8.948871000E-1,-2.645999908E1,-6.719999790E0,-3.845999908E1,4.716419700E1
9.027911530E-1,-2.651999855E1,-6.659999847E0,-3.834000015E1,4.709162912E1
9.107867580E-1,-2.597999954E1,-6.659999847E0,-3.852000046E1,4.693726035E1
9.186908110E-1,-2.651999855E1,-6.299999714E0,-3.852000046E1,4.718888381E1
9.266253810E-1,-2.645999908E1,-6.420000076E0,-3.809999847E1,4.682902771E1
9.346209870E-1,-2.657999992E1,-6.059999943E0,-3.768000031E1,4.650808982E1
9.424945220E-1,-2.705999947E1,-5.579999924E0,-3.779999924E1,4.682114813E1
9.504596100E-1,-2.651999855E1,-5.519999981E0,-3.804000092E1,4.669927615E1
9.583941800E-1,-2.597999954E1,-5.039999962E0,-3.845999908E1,4.668547424E1
9.663592680E-1,-2.609999847E1,-5.579999924E0,-3.887999725E1,4.715930985E1
9.743548740E-1,-2.585999870E1,-5.819999695E0,-3.887999725E1,4.705598916E1
9.822589260E-1,-2.603999901E1,-5.819999695E0,-3.863999939E1,4.695746477E1
9.902545320E-1,-2.609999847E1,-6.000000000E0,-3.839999771E1,4.681634057E1
9.981585840E-1,-2.585999870E1,-5.819999695E0,-3.809999847E1,4.641359513E1
1.006154190E0,-2.592000008E1,-5.940000057E0,-3.815999985E1,4.651145658E1
1.014119278E0,-2.597999954E1,-6.179999828E0,-3.815999985E1,4.657615659E1
1.022023331E0,-2.627999878E1,-5.819999695E0,-3.804000092E1,4.659991848E1
1.029957901E0,-2.651999855E1,-5.639999866E0,-3.804000092E1,4.671361248E1
1.037892471E0,-2.639999962E1,-5.400000095E0,-3.815999985E1,4.671515353E1
1.045888077E0,-2.621999931E1,-5.279999733E0,-3.857999802E1,4.694446728E1
1.053853165E0,-2.615999985E1,-5.579999924E0,-3.845999908E1,4.684712927E1
1.061787735E0,-2.597999954E1,-5.699999809E0,-3.870000076E1,4.695892283E1
1.069783340E0,-2.634000015E1,-6.239999771E0,-3.852000046E1,4.707997069E1
1.077687393E0,-2.621999931E1,-6.179999828E0,-3.809999847E1,4.666144710E1
1.085621963E0,-2.592000008E1,-6.119999886E0,-3.815999985E1,4.653478689E1
1.093617569E0,-2.597999954E1,-5.879999638E0,-3.786000061E1,4.629162363E1
1.101491104E0,-2.561999893E1,-5.879999638E0,-3.809999847E1,4.628788853E1
1.109486709E0,-2.585999870E1,-5.940000057E0,-3.839999771E1,4.667529280E1
1.117421280E0,-2.615999985E1,-6.059999943E0,-3.852000046E1,4.695593282E1
1.125386368E0,-2.645999908E1,-6.359999657E0,-3.881999969E1,4.740858069E1
1.133381973E0,-2.621999931E1,-5.759999752E0,-3.887999725E1,4.724743535E1
1.141316543E0,-2.615999985E1,-5.579999924E0,-3.875999832E1,4.709373059E1
1.149312149E0,-2.634000015E1,-5.759999752E0,-3.887999725E1,4.731413522E1
1.157216202E0,-2.639999962E1,-5.460000038E0,-3.875999832E1,4.721344141E1
1.165211807E0,-2.681999969E1,-5.519999981E0,-3.870000076E1,4.740751884E1
1.173176895E0,-2.687999916E1,-5.699999809E0,-3.845999908E1,4.726728131E1
1.181080948E0,-2.681999969E1,-5.879999638E0,-3.857999802E1,4.735296217E1
1.189015518E0,-2.645999908E1,-6.000000000E0,-3.804000092E1,4.672443923E1
1.196950088E0,-2.669999886E1,-6.299999714E0,-3.797999954E1,4.685147063E1
1.204945694E0,-2.687999916E1,-6.299999714E0,-3.804000092E1,4.700282992E1
1.212910782E0,-2.651999855E1,-5.699999809E0,-3.804000092E1,4.672089458E1
1.220845352E0,-2.639999962E1,-5.759999752E0,-3.815999985E1,4.675813475E1
1.228810440E0,-2.597999954E1,-6.179999828E0,-3.786000061E1,4.633068552E1
1.236714493E0,-2.585999870E1,-6.420000076E0,-3.821999741E1,4.659103063E1
1.244679581E0,-2.592000008E1,-6.539999962E0,-3.791999817E1,4.639551988E1
1.252675186E0,-2.621999931E1,-6.119999886E0,-3.797999954E1,4.655559180E1
1.260579239E0,-2.639999962E1,-5.699999809E0,-3.791999817E1,4.655508822E1
1.268574844E0,-2.621999931E1,-5.579999924E0,-3.773999786E1,4.629181571E1
1.276509415E0,-2.615999985E1,-5.460000038E0,-3.834000015E1,4.673449266E1
1.284474502E0,-2.592000008E1,-5.819999695E0,-3.857999802E1,4.684159527E1
1.292470108E0,-2.579999924E1,-5.759999752E0,-3.857999802E1,4.676787150E1
1.300404678E0,-2.568000031E1,-5.519999981E0,-3.863999939E1,4.672239686E1
1.308400284E0,-2.615999985E1,-6.000000000E0,-3.881999969E1,4.719468157E1
1.316334854E0,-2.597999954E1,-6.000000000E0,-3.887999725E1,4.714461329E1
1.324299942E0,-2.621999931E1,-6.179999828E0,-3.918000031E1,4.754737833E1
1.332295547E0,-2.615999985E1,-6.359999657E0,-3.918000031E1,4.753806487E1
1.340199600E0,-2.573999977E1,-6.239999771E0,-3.857999802E1,4.679638268E1
1.348164688E0,-2.585999870E1,-6.119999886E0,-3.845999908E1,4.674789258E1
1.356160293E0,-2.579999924E1,-5.819999695E0,-3.815999985E1,4.642949435E1
1.364125381E0,-2.621999931E1,-6.000000000E0,-3.797999954E1,4.653996916E1
1.372059952E0,-2.627999878E1,-5.819999695E0,-3.804000092E1,4.659991848E1
1.379994522E0,-2.627999878E1,-5.940000057E0,-3.809999847E1,4.666403133E1
1.387990127E0,-2.639999962E1,-6.179999828E0,-3.821999741E1,4.686065065E1
1.395894180E0,-2.597999954E1,-5.759999752E0,-3.804000092E1,4.642391241E1
1.403828750E0,-2.621999931E1,-5.819999695E0,-3.834000015E1,4.681149829E1
1.411824356E0,-2.669999886E1,-5.819999695E0,-3.857999802E1,4.727767531E1
