Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.974801578,15.8399992,7.440000057,-42.29999924,45.77716801
0.982766665,15.65999985,7.619999886,-42.71999741,46.13348211
0.990701236,16.13999939,7.859999657,-42.59999847,46.22811963
0.998696841,15.96000004,7.739999771,-42.89999771,46.42239763
1.006661929,15.35999966,7.619999886,-42.77999878,46.08820113
1.014535464,15.8399992,7.739999771,-42.71999741,46.21483906
1.02253107,16.19999886,7.079999924,-42.71999741,46.233803
1.030435123,16.37999916,7.199999809,-42.89999771,46.48176173
1.03840021,16.68000031,7.259999752,-43.02000046,46.70814111
1.046395816,16.5,7.199999809,-42.84000015,46.46886711
1.054299869,16.31999969,7.559999943,-42.65999985,46.29656117
1.062234439,16.07999992,7.379999638,-42.23999786,45.79572264
1.070169009,15.89999962,7.679999828,-42.18000031,45.72685
1.078134097,15.65999985,7.5,-42.11999893,45.55853274
1.08616022,15.96000004,8.099999428,-42.18000031,45.82012678
1.094064273,16.26000023,7.980000019,-42.18000031,45.90447074
1.102059878,16.07999992,7.859999657,-42.29999924,45.93077321
1.109963931,16.13999939,7.919999599,-42.47999954,46.12782604
1.117929019,15.59999943,7.319999695,-42.65999985,46.00889006
1.125955142,15.35999966,7.379999638,-42.65999985,45.9376705
1.133889712,15.77999973,7.5,-42.41999817,45.87716901
1.1418548,15.89999962,7.859999657,-42.65999985,46.2002724
1.149819888,15.89999962,7.980000019,-42.59999847,46.16546608
1.157784976,16.02000046,8.039999962,-42.47999954,46.10674978
1.165750064,15.96000004,8.039999962,-42.65999985,46.25190577
1.173654117,15.71999931,8.039999962,-42.54000092,46.05878478
1.181619205,15.96000004,8.279999733,-42.54000092,46.18367325
1.189523257,16.02000046,8.399999619,-42.89999771,46.55760101
1.197488345,16.02000046,8.399999619,-43.25999832,46.88952829
1.205514468,16.07999992,8.159999847,-43.13999939,46.75694111
1.213418521,15.96000004,7.980000019,-43.37999725,46.90656844
1.221353091,15.96000004,8.099999428,-43.02000046,46.59454937
1.229318179,15.77999973,8.159999847,-42.54000092,46.10038684
1.237283267,16.31999969,8.159999847,-42.36000061,46.12263695
1.245278873,16.26000023,8.159999847,-42.05999756,45.82593807
1.253182925,15.77999973,7.679999828,-42.05999756,45.57449049
1.261148013,15.65999985,7.739999771,-42.23999786,45.70952429
1.269113101,15.35999966,7.559999943,-42.36000061,45.68865111
1.277047671,15.23999977,7.259999752,-42.54000092,45.76698447
1.285043277,15.77999973,7.319999695,-42.29999924,45.73708258
1.292977847,16.02000046,7.379999638,-42.29999924,45.83006377
1.300912417,15.35999966,7.440000057,-42.23999786,45.55766247
1.308846988,15.53999996,7.379999638,-41.87999725,45.27571273
1.316812076,15.17999935,7.319999695,-41.87999725,45.1436479
1.324807681,14.75999928,6.960000038,-41.57999802,44.66761035
1.332711734,15,7.139999866,-41.52000046,44.7201301
1.340646304,15.05999947,7.559999943,-41.81999969,45.08735474
1.348580874,15.42000008,7.679999828,-42.41999817,45.78444107
1.35657648,15.71999931,7.619999886,-42.65999985,46.09835532
1.364541568,15.89999962,7.319999695,-42.59999847,46.05596871
1.372476138,15.8399992,6.960000038,-42.29999924,45.7016095
1.380441226,15.42000008,7.259999752,-42.23999786,45.54889042
1.388406314,15.59999943,7.5,-42,45.42697417
1.396371402,15.53999996,7.559999943,-42.36000061,45.74947923
1.40433649,15.71999931,7.799999714,-42.65999985,46.12845067
1.412240542,15.89999962,7.619999886,-42.29999924,45.82754981
1.42020563,16.13999939,7.619999886,-42.41999817,46.02195371
1.428109683,15.96000004,7.619999886,-42.11999893,45.68238511
1.436105289,15.96000004,7.559999943,-41.93999863,45.50646861
1.444070376,15.53999996,7.319999695,-42.11999893,45.48811168
1.451943912,15.29999924,7.319999695,-41.93999863,45.23975969
1.459939517,15.53999996,7.379999638,-41.39999771,44.83208454
1.467874087,15.17999935,7.259999752,-41.21999741,44.522221
1.475808658,15.35999966,7.319999695,-41.21999741,44.59372345
1.483773746,15.59999943,7.5,-41.52000046,44.98355722
1.491677798,15.71999931,7.379999638,-41.87999725,45.3378092
1.499612369,15.59999943,7.319999695,-42.23999786,45.61973035
1.507516421,15.53999996,7.619999886,-41.75999832,45.20457341
1.515481509,15.42000008,7.619999886,-41.93999863,45.3299491
1.523477115,15.35999966,7.739999771,-41.87999725,45.27440067
1.531411685,15.23999977,7.559999943,-41.63999939,44.98111539
1.539346255,15.42000008,7.199999809,-41.93999863,45.26124042
1.547280826,14.93999958,6.960000038,-41.75999832,44.89479533
1.555245914,14.69999981,6.960000038,-42.41999817,45.43113293
1.563272037,14.88000011,7.440000057,-42.47999954,45.62146825
1.571206607,15.23999977,7.559999943,-42.29999924,45.59277495
1.579141177,15.17999935,7.199999809,-41.57999802,44.84605459
1.587075748,15.47999954,7.019999981,-41.15999985,44.53152112
1.595010318,16.07999992,7.139999866,-41.09999847,44.70744759
1.602975406,15.77999973,7.259999752,-41.27999878,44.78564823
1.610909976,16.31999969,7.799999714,-42.47999954,46.17069143
1.618875064,16.37999916,7.919999599,-42.71999741,46.43305875
1.626809634,16.37999916,7.559999943,-43.02000046,46.64952745
1.63480524,16.5,7.440000057,-43.31999969,46.94918502
1.642770328,16.61999893,7.440000057,-42.65999985,46.38376389
1.650643863,16.61999893,7.619999886,-42.47999954,46.24758506
1.658639468,16.26000023,7.919999599,-42.41999817,46.11475085
1.666543521,16.13999939,7.799999714,-42.18000031,45.83112481
1.674508609,15.77999973,7.559999943,-42.65999985,46.10897502
1.682504214,16.07999992,7.739999771,-42.84000015,46.40840018
1.690408267,15.96000004,7.619999886,-42.54000092,46.06992161
1.698342837,16.26000023,7.679999828,-42.89999771,46.51644664
1.706277408,16.02000046,7.919999599,-42.65999985,46.25194477
1.714211978,15.65999985,7.679999828,-42.36000061,45.81034429
1.722207583,15.71999931,7.679999828,-42.95999908,46.38601402
1.730111636,15.35999966,8.039999962,-42.89999771,46.27073581
1.738046207,15.8399992,7.679999828,-42.77999878,46.26030985
1.746011294,16.26000023,8.039999962,-43.02000046,46.68778905
1.753945865,16.02000046,7.980000019,-42.29999924,45.93049913
1.761910953,16.19999886,8.039999962,-42.11999893,45.83858497
1.769815005,16.02000046,8.220000267,-42.54000092,46.1937279
1.777749576,15.59999943,8.039999962,-42.47999954,45.96250584
