"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.198301428E0,2.195999908E1,1.409999943E1,-3.989999771E1,4.767663328E1
1.206266516E0,2.207999992E1,1.439999962E1,-3.941999817E1,4.742175283E1
1.214231604E0,2.213999939E1,1.427999973E1,-3.954000092E1,4.751325749E1
1.222135657E0,2.184000015E1,1.434000015E1,-3.929999924E1,4.719227851E1
1.230070227E0,2.147999954E1,1.463999939E1,-3.965999985E1,4.741978016E1
1.237974280E0,2.129999924E1,1.475999928E1,-4.013999939E1,4.777831200E1
1.245939368E0,2.087999916E1,1.505999947E1,-4.061999893E1,4.809118695E1
1.253965491E0,2.100000000E1,1.500000000E1,-4.025999832E1,4.782120309E1
1.261869544E0,2.111999893E1,1.463999939E1,-3.989999771E1,4.745939058E1
1.269834632E0,2.123999977E1,1.421999931E1,-3.941999817E1,4.698172226E1
1.277769202E0,2.165999985E1,1.361999989E1,-3.929999924E1,4.689509495E1
1.285703772E0,2.177999878E1,1.361999989E1,-3.923999786E1,4.690042831E1
1.293729895E0,2.231999969E1,1.427999973E1,-3.923999786E1,4.734847633E1
1.301633948E0,2.226000023E1,1.446000004E1,-3.971999741E1,4.777318710E1
1.309629553E0,2.202000046E1,1.457999992E1,-3.929999924E1,4.734920018E1
1.317564124E0,2.195999908E1,1.434000015E1,-3.971999741E1,4.759785035E1
1.325559729E0,2.165999985E1,1.379999924E1,-4.007999802E1,4.760253999E1
1.333524817E0,2.135999870E1,1.392000008E1,-3.989999771E1,4.735003447E1
1.341428870E0,2.165999985E1,1.385999966E1,-4.031999969E1,4.782214507E1
1.349393958E0,2.195999908E1,1.451999950E1,-4.031999969E1,4.815365324E1
1.357328528E0,2.202000046E1,1.481999969E1,-4.002000046E1,4.802200795E1
1.365293616E0,2.231999969E1,1.475999928E1,-3.995999908E1,4.809201069E1
1.373289221E0,2.202000046E1,1.500000000E1,-4.025999832E1,4.827781980E1
1.381193274E0,2.160000038E1,1.457999992E1,-4.025999832E1,4.795835568E1
1.389158362E0,2.160000038E1,1.505999947E1,-4.050000000E1,4.830749011E1
1.397123450E0,2.160000038E1,1.481999969E1,-4.061999893E1,4.833401205E1
1.405058020E0,2.142000008E1,1.463999939E1,-4.013999939E1,4.779503673E1
1.413023108E0,2.142000008E1,1.481999969E1,-4.013999939E1,4.785047905E1
1.420927161E0,2.123999977E1,1.434000015E1,-4.037999725E1,4.782590692E1
1.428892249E0,2.087999916E1,1.451999950E1,-4.031999969E1,4.767082049E1
1.436857337E0,2.142000008E1,1.500000000E1,-4.025999832E1,4.800712310E1
1.444822424E0,2.135999870E1,1.475999928E1,-4.025999832E1,4.790589304E1
1.452848548E0,2.135999870E1,1.493999958E1,-4.037999725E1,4.806243138E1
